sign,date,prediction
aries,2021-01-16,"Понижайте градус самоуверенности – сейчас она может подвести вас в самый ответственный момент или при слишком серьезном разговоре. Также звезды советуют мыслить наперед, трезво и общаться с людьми аккуратно, понимая их настроение – все это поможет закончить день на позитивной ноте. Полезно заниматься тем, что вам нравится, а не тем, что от вас требуют другие."
aries,2021-01-17,"Неделя выдастся напряженной, и сейчас самое время хорошенько отдохнуть, подзарядиться силами. Кстати, расслабляться можно и за интересной книгой или чтением новостей – звезды «за» любую информацию. Также сегодня можно найти ответы на все свои вопросы, если назначить встречу с нужными людьми. Только берегите нервы – из-за сильного волнения можно подхватить невроз."
aries,2021-01-18,"С концентрацией внимания у вас сейчас серьезные проблемы, поэтому при заполнении документов или в серьезных разговорах стоит быть ужасно собранным. В остальном же день невероятно успешный для работы – новые идеи приходят по щелчку пальцев, а руководство начинает замечать вашу результативность и таланты. Также не стоит забывать об интуиции – сегодня она будет подсказывать верные ходы."
aries,2021-01-19,"Следите за самочувствием – здоровье сегодня может подвести. Также аварийные тенденции этого дня не сулят ничего хорошего тем, кто намерен провести время активно. Полезно не выходить из дома и реже общаться. Тем более, что сейчас вам хочется не просто высказывать свое мнение, но и давить им на окружающих, а это может перерасти в конфликт за секунду. Будьте осторожны во всем."
aries,2021-01-20,"Вы настроены подавлять и властвовать, продавливать свои идеи и агрессивно защищать личные границы – эта солянка из негатива до добра точно не доведет. Пытайтесь держать себя в руках, сначала думать, а потом делать, иначе рискуете испортить отношения с большинством близких. Также снижайте уровень критики и не ждите от людей невероятных результатов – они и так отдаются делу на сто процентов. "
aries,2021-01-21,"Самооценка падает, а упрямство растет – такой нестандартный набор подрывает эмоциональный фон. Будьте осторожнее в общении, чтобы ненароком не обидеть любимых людей или не сорваться на тех, кто вообще ни в чем не виновен. Лучше сконцентрируйтесь на работе – сейчас ваш мозг работает быстро, идеи выстреливают, а негатив выветривается. Так вы можете не только удивить начальство, но и заработать повышение."
aries,2021-01-22,"Пятница – отличная возможность отдохнуть. Будет ли это встреча с друзьями в кафе или спокойный вечер за интересной книгой – решать вам, но главное – расслабиться и набраться сил. А вот на работе сегодня будет нелегко: очередной проект не будет поддаваться, а нервное напряжение нарастает. Разрушить преграды не получится и в данный момент придется смириться с положением дел."
aries,2021-01-23,"Те дела и те люди, которые сегодня ворвутся в вашу жизнь, сохранятся в ней на долгое время, поэтому выбирайте занятия щепетильнее и отказывайтесь от того, что вам совершенно не нравится. Полезно в этот день искать ответы на вопросы и исправлять старые ошибки. Да, возможно, не все получится, но попытаться стоит – звезды обещают помочь в сложных моментах."
aries,2021-01-24,"Расставьте приоритеты и выделите ту сферу жизни, которая нуждается в глобальных переменах. Звезды дадут вам силы выполнить все задуманное и изменить свою жизнь до неузнаваемости. Вообще, сегодня вам будет вести больше остальных знаков, и стоит этим воспользоваться – попытаться реализовать давнюю мечту или рискнуть в любви или с деньгами. Не провороньте этот головокружительный шанс."
aries,2021-01-25,"Новостей так много, что вам сложно сосредоточиться на чем-то одном. Попытайтесь выделить из потока самые нужные мысли и зацепиться за них, иначе можно утонуть в пучинах информации. Также сегодня звезды подталкивают нас разрешать конфликты, расставлять точки над «i» и находить компромиссы даже в самых сложных ситуациях. Кому-то повезет еще больше – найдутся ответы на самые сложные вопросы."
aries,2021-01-26,"Отличный день для Овнов, когда могут исполниться их маленькие желания. Главное – быть активным и рассчитывать только на собственные силы, потому что близкие друзья или родственники слишком заняты, решая свои проблемы. Также звезды советуют быть осторожным в общем и целом – сегодня вероятность аварий, травм и разношерстных неприятностей очень повышена."
aries,2021-01-27,"Сегодня все идет не по вашему плану, и вы не успеваете даже части того, что запланировали. Не нервничайте и отпустите ситуацию, возможно, таким образом звезды подсказывают, что сейчас нужно больше времени уделить себе или близким, а не делам. Также стоит меньше общаться – каждый разговор сейчас может закончиться конфликтом или новым пунктом в списке заданий на день."
aries,2021-01-28,"Внутри вас множество талантов, и задача на сегодня – найти хотя бы половину. Тем же, кто уже оценил свой внутренний творческий потенциал, повезет больше – множество чувств и эмоций помогут найти и реализовать выигрышные идеи. Также звезды советуют играть по своим правилам, но при этом уважать чужие: не стоит переходить кому-то дорогу, но стоит протягивать руку помощи тем, кто сейчас нуждается в поддержке."
aries,2021-01-29,"Окружающие подкидывают в ваш и без того сложный день новые задачи и дела. Научитесь говорить «нет», чтобы освободить для себя хотя бы капельку свободного времени. Тем более что сегодня звезды советуют чаще оставаться наедине с самим собой и побольше думать о будущем. Также звезды советуют набраться терпения и «выбросить» из жизни все ненужное, что тянет назад и приносит неприятности."
aries,2021-01-30,"Рано делать выводы и судить о ком-то – завтра ваше мнение может измениться, а ошибки, которые вы наделали, будет сложно исправить. К сложным задачам стоит подходить творчески, чтобы решить их быстро и впечатлить окружающих результатом. Также звезды советуют укреплять свое здоровье – запишитесь в фитнес-клуб, выберите новую диету, чаще гуляйте и дышите свежим воздухом."
aries,2021-01-31,"Сегодня ваши близкие и знакомые будут сражаться друг с другом за ваше внимание. Постарайтесь сгладить ситуацию и уделить каждому из них время и внимание. Полезно думать над старыми делами, которые не поддаются вам уже очень давно – именно в этот день вы можете найти решение. Но перед действиями стоит просчитать все ходы, проанализировать варианты развития ситуации, чтобы не сделать хуже. "
aries,2021-02-01,"Контролировать все и сразу сегодня вряд ли получится, тем более что какое-то одно дело будет забирать все ваше внимание. Сейчас вы хотите и можете свернуть горы, но нужно быть умнее – планировать свои ходы заранее, иначе можно не успеть вообще ничего, растратив все свои силы и время. Также звезды советуют не рисковать лишний раз и не заводить сложные разговоры – ничего хорошего это не даст."
aries,2021-02-02,"Сегодня стоит быть осторожнее – неприятности поджидают вас на каждом шагу. С другой стороны, это отличная возможность поработать дома или максимально расслабиться – тут кому что. Но и в семейном гнездышке могут быть проблемы – можно поругаться с близкими и любимыми, поэтому стоит сглаживать острые углы в общении, пытаться принять и понять чужую точку зрения и настаивать на компромиссе."
aries,2021-02-03,"Сегодня придется топтаться на одном месте – ретроградный Меркурий против начинаний и инициатив. Поэтому занимайте рутинными делами или завершайте то, что осталось с прошлого месяца. Вечером же станет только хуже – будет невозможно договориться с кем-то о чем-либо или заняться привычными делами, но есть и позитивные моменты – в это время вас могут порадовать хорошие новости и нужная информация."
aries,2021-02-04,"Конфликты назревают со всех сторон и отмахнуться от них будет невозможно. Самое время собрать вещички и уйти в тень на подольше – это будет единственным верным решением. От сложных дел и серьезных переговоров стоит отказаться. И не волнуйтесь за будущее – все сложится хорошо, просто сейчас стоит поставить дела на паузу. Вместо этого сейчас лучше заняться тем, что приносит вам удовольствие."
aries,2021-02-05,"Настроение сегодня – бомба замедленного действия. Одно неверное слово или взгляд в вашу сторону, и точно рванет. Поэтому общайтесь с людьми реже и концентрируйте внимание на работе или домашних хлопотах, чтобы обезопасить окружающих от своего гнева. Также звезды советуют наводить порядок везде, где только можно – в доме, на рабочем месте, в мыслях – сейчас вам нужно разобраться в своей жизни."
aries,2021-02-06,"Курс на креатив! Сегодня вам стоит браться только за интересные, необычные и вдохновляющие задачи и выполнять их, подключая к делу фантазию и творческую жилку. Не расстраивайтесь, если ваши планы не этот день будут разниться со сценарием партнеров или друзей – вы можете подкорректировать задуманное и преуспеть в чем-то другом. Также звезды советуют сейчас не перенапрягаться, иначе лишняя нагрузка отпечатается на ваше здоровье."
aries,2021-02-07,"Этот день зависит от ваших друзей: общайтесь с ними чаще, чтобы поднять настроение и хорошенько отдохнуть. Также можно обратиться к самым близким из них, если вам нужна помощь – они точно не откажут. Кроме того, звезды советуют отслеживать свое самочувствие и вообще позаботиться в этот день о здоровье – выбирать здоровую пищу, больше спать и гулять на свежем воздухе."
aries,2021-02-08,"Не стоит останавливаться на достигнутом – вам есть куда расти и развиваться. Поэтому с радостью принимайтесь за новые дела, соглашайтесь на даже сомнительные предложения и ставьте эксперименты – это повлияет не только на ваше настроение, но и на карьеру. Звезды уверяют – если ваши грандиозные планы просчитаны до мельчайших подробностей, то сейчас они могут начать сбываться. Но радоваться еще рано – не все может закончиться так, как вы мечтали."
aries,2021-02-09,"Сегодня ваш пылкий темперамент может спалить все отношения, поэтому держите себя в руках и лишний раз не заводите разговоров с друзьями, коллегами и особенно начальством. Также не стоит лишний раз болтать о своих планах даже с близкими – они могут поселить сомнения в вашем мозге. А вот налаживать контакты со старыми знакомыми – очень полезное дело. "
aries,2021-02-10,"Расслабьтесь и плывите по течению жизнь – вас прибьет к нужному берегу. А вот гнуть свою линию и пытаться исправить обстоятельства – вредное и бесполезное действие, ведь вы ничего не сможете изменить. За будущее не бойтесь – звезды говорят, что в любом случае все будет хорошо. Возможно, какие-то важные дела сегодня придется отложить, но в следующий раз вы выполните их быстро и успешно."
aries,2021-02-11,"Импровизация куда интереснее каких-то планов, особенно, когда судьба делает резкий поворот. Поэтому в этот день будьте открыты для любых задач, разговоров и знакомств, и тогда все пройдет отлично. Перемены сегодня будут входить в вашу жизнь быстро и учить вас молниеносной реакции. Также звезды не советуют общаться, и тем более давить на тех людей, которые могут дать отпор. "
aries,2021-02-12,"Сегодня Овны легко теряют равновесие, нарушают договор и переходят черту. День усилит вашу воинственность и инстинкт собственника, обострит идущую к концу тяжбу, вынудит активнее защищать свои владения и права. Возможна схватка за жилье, наследство, бизнес, территорию или власть. Под угрозой может оказаться итог переговоров, безопасность дома, взаимопонимание с семьей, партнером и нужными людьми."
aries,2021-02-13,"День для ленивого отдыха и максимального расслабления – сегодня вы обязаны запастись силами на новую неделю. Да и вам самим вряд ли захочется заниматься в эти сутки чем-то серьезным. Также звезды советуют сейчас быть ближе к природе и подпитываться энергией от созерцания и прикосновений. Вообще, полезно проводить время в одиночестве – вы будете знать, чем его заполнить."
aries,2021-02-14,"В этот выходной день стоит хорошенько расслабиться. Да, вчера звезды давали тот же самый совет, но разве отдыха может быть много? В эти выходные стоит потомить свои мысли и идеи, чтобы с новой недели начать воплощать их в жизнь. На любовном фронте все не так гладко, как хотелось бы. К счастью, в этот День всех влюбленных даже самые плохие отношения можно наладить чуткостью и сопереживанием."
aries,2021-02-15,"Настроение сегодня – двигать горы. Воспользуйтесь им правильно – направьте к рабочее русло, иначе день и ваша энергия пройдут совершенно зря. Тем более, что сейчас вам будут приходить только положительные новости, которые лишь вдохновят и подтолкнут к великим делам. Постарайтесь видеть выгоду даже в негативных ситуациях, и тогда вам обеспечен позитивный вечер."
aries,2021-02-16,"Не рискуйте без причины и не ввязывайтесь в авантюры – целее будете. Звезды уверяют, что сегодня все ситуации будут закручиваться совершенно не так, как вы прогнозировали, а судьба преподнесёт сразу несколько сюрпризов. Инициатива сегодня тоже наказуема, поэтому оставьте при себе свои мысли и идеи. Лучше расслабьтесь и займитесь тем, на что прежде не хватало времени."
aries,2021-02-17,"Сегодня вам будет сложно контролировать эмоции в те моменты, когда кто-то или что-то затронет вашу самооценку или личные интересы. Постарайтесь держать себя в руках, иначе позже придется очень долго просить прощения. С деньгами сегодня тоже проблемы – они утекают сквозь пальцы. Учитесь экономить и отказывать себе в минутных желаниях, чтобы протянуть до конца месяца."
aries,2021-02-18,"Переменам быть! Но пускайте их в свою жизнь дозировано и выборочно – не все из них несут вам пользу. Также сегодня вам будет хотеться настоять на своем, высказать личное мнение и пойти по собственному плану. Постарайтесь быть не такими категоричными, иначе проблемы начнут за вас цепляться. Кроме того, звезды советуют меньше напрягаться физически – сегодня это может негативно отразиться на здоровье."
aries,2021-02-19,"Больше отдыхайте, но меньше ешьте – вместе с хорошим настроением можно разжиться лишними килограммами. А вот работать сегодня противопоказано – из рук будет валиться абсолютно все, а ошибки начнут вылезать даже в стандартных задачах. Инициативы тоже стоит попридержать – вред ли кто-то сегодня оценит ваши мысли и идеи. Но есть и позитивные моменты – сейчас вы знаете, от чего точно стоит отказаться."
aries,2021-02-20,"В эту рабочую субботу вам вряд ли захочется серьезно напрягаться, но, несмотря на это, есть огромный энергетический потенциал. Поэтому разгребайте завалы на работе – сил для этого сегодня будет предостаточно. Ну а если вам в этот день захочется приключений, обязательно берите с собой друзей – так будет куда безопаснее. На любовном же фронте все прекрасно, но серьезных решений пока не стоит принимать. "
aries,2021-02-21,"Сегодня чужое мнение и энергетика может подавить вас. Постарайтесь держаться подальше от негативных эмоций и сохранять внутри положительный настрой. С покупками тоже стоит быть осторожнее – можно потратить кучу денег на вещь, которая уже завтра не будет нравиться или приносить вам пользу. На любовном фронте сейчас могут быть небольшие проблемы, но вы со всем справитесь."
aries,2021-02-22,"Причиняйте добро и наносите пользу – сейчас это вдохновит вас на большие шаги, а в будущем – вернется в троекратном размере. Чаще общайтесь с родственниками или и вовсе проведите с ними весь день, если сегодня у вас выходной. В этот день вы можете как наладить связь с близкими людьми, так и укрепить ее. Полезно сегодня провести дома влажную уборку – вы очистите дом от пыли и негативной энергии."
aries,2021-02-23,"Сегодня мысли материальны, поэтому настраивайтесь на позитив и думайте о своих целях и головокружительных мечтах. Деловые вопросы и задачи будут решаться очень быстро и хорошо – успех ждет в любом деле. Но большую часть этого дня лучше провести с близкими и любимыми – сейчас это поможет вам зарядиться энергией, снять груз стресса и поразмышлять о светлом будущем. "
aries,2021-02-24,"Вселенная подскажет вам сегодня, какие планы стоит пересмотреть, а от каких и вовсе отказаться, поэтому присматривайтесь к знакам и прислушивайтесь к информации, разговорам – возможно, сегодня вы найдете путь всей жизни. Только не действуйте сразу – сейчас важно собрать все «пазлы», а начать тогда, когда на руках будут все возможности для этого."
aries,2021-02-25,"Включайте обаяние на всю катушку – сегодня вы можете превратить карьерную лестницу в лифт. И грех упускать такую хорошую возможность. Также стоит быть активным и инициативным, чтобы впечатлить начальника и встретить интересных людей, общение с которыми позже перерастет в нечто большее. Кроме того, в этот день полезно прогуляться по магазинам – новые вещи прослужат вам очень долго."
aries,2021-02-26,"Забирайтесь на новую карьерную вершину – сегодня звезды помогут вам обойти всех конкурентов и показать начальству, на что вы способны. Также полезно смотреть на проблемы и задания под другим, креативным углом. Рисковать сейчас тоже можно – вы обретете больше, чем потеряете в процессе. Кроме того, звезды советуют навести порядок на рабочем столе – так вы притянете положительную энергию."
aries,2021-02-27,"Сегодня вас будет подпитывать азарт, конфликт и вдохновение, поэтому рутинные дела будут идти плохо, а вот в карьере намечаются глобальные перемены – вы настроены обойти всех конкурентов. Звезды советуют положиться на судьбу – если некоторые проекты невозможно сдвинуть с места, значит, не пришло время их реализации, пока стоит отложить. Отдохнуть и перевести дух от бесконечных дел вы сможете только вечером."
aries,2021-02-28,"Сегодня стоит пустить свою активность в важные дела: работа, уборка или деловые переговоры. Да, сейчас хочется расслабиться на диване перед интересным кино, но не время раскисать – именно в этот день вам может круто повести в карьере, отношениях и личных делах. Поэтому собирайте волю в кулак и настраивайтесь на позитив и инициативность. А если что-то пойдет не так – звезды помогут."
aries,2021-03-01,"Проблемы окружают со всех сторон. Постарайтесь мыслить рационально и не бойтесь просить о помощи друзей, коллег или родственников – с некоторыми задачами вы не справитесь в одиночку. Деньги сегодня лучше держать подальше от своих рук – можно потратить крупную сумму на ненужную вещь. Вечером же звезды советуют встретиться с близкими друзьями и подзарядиться энергией."
aries,2021-03-02,"Сегодня у вас есть отличная возможность переманить своих врагов на вашу темную сторону. Поэтому будьте активнее, дружелюбнее и изобретательнее. А вот гнуть свою линию там, где слишком много препятствий, все же не стоит – вы не добьетесь своего и только потратите драгоценные силы и время. Уже завтра вы сможете попробовать еще раз, и возможно, все пойдет как по маслу. А пока решайте те проблемы, которые невозможно отложить."
aries,2021-03-03,"Пора укреплять тылы своего благополучия, нужные связи и планы на будущее. Вообще, сегодня очень важно думать наперед и шагать в верном направлении – а выбрать его помогут звезды. Поэтому смотрите по сторонам, замечайте знаки и слушайте интуицию – все это поможет вам рассекретить планы Вселенной и воспользоваться теми шансами, которые она вам посылает."
